,score,srcIP,dstIP,max_local,min_local
29,0.014641262830368275,192.168.41.115,192.168.224.110,0.09952833643945184,0.0
30,0.012854711076370534,192.168.193.160,192.168.248.180,0.11569239968733482,0.0
31,0.010426464836087522,192.168.193.62,192.168.224.110,0.09383818352478769,0.0
32,0.008153181373842276,192.168.51.243,192.168.224.110,0.045914554141145154,0.0
33,0.006755108077212037,192.168.51.142,192.168.243.211,0.013510216154424074,0.0
34,0.005429339380373054,185.125.190.49,192.168.224.86,0.04886405442335749,0.0
35,0.0051472792616784595,192.168.224.86,185.125.190.49,0.04632551335510614,0.0
36,0.004647858526934526,192.168.193.176,192.168.224.110,0.013943575580803579,0.0
37,0.00442573343626952,192.168.193.164,192.168.248.180,0.03540586749015616,0.0
38,0.004024221996689284,192.168.193.100,192.168.224.110,0.03219377597351427,0.0
39,0.0038395582432700576,192.168.193.230,192.168.248.180,0.03071646594616046,0.0
40,0.003239619401715031,192.168.194.68,192.168.239.15,0.022677335812005216,0.0
41,0.0021995440283282697,192.168.19.163,192.168.224.110,0.0043990880566565395,0.0
42,0.002049090840440894,192.168.193.63,192.168.248.180,0.018441817563968045,0.0
43,0.001966729733233272,192.168.3.154,192.168.239.15,0.011800378399399632,0.0
44,0.0016069028681189252,192.168.41.170,192.168.224.110,0.012855222944951401,0.0
45,0.0011524890654903061,192.168.18.114,192.168.224.110,0.009219912523922449,0.0
46,0.0009331560933301777,192.168.41.18,192.168.224.110,0.0083984048399716,0.0
47,0.0008357885456856396,192.168.17.0,192.168.224.110,0.0033431541827425586,0.0
48,0.0006482810535850029,192.168.34.146,192.168.224.110,0.005834529482265025,0.0
49,0.0003907332813353553,192.168.42.47,192.168.224.110,0.0031245658064076214,0.0
50,0.00020058816916886335,192.168.50.43,192.168.224.110,0.0016047053533509068,0.0
51,0.00017892040822423572,192.168.19.175,192.168.224.110,0.0010735224493454143,0.0
52,0.00010642082696905712,192.168.27.23,192.168.224.110,0.0006385249618143427,0.0
53,5.861171600533348e-05,192.168.40.243,192.168.224.110,0.00011722343201066696,0.0
54,3.483769826036066e-05,192.168.194.56,192.168.224.110,3.483769826036066e-05,3.483769826036066e-05
55,3.0281358238335298e-05,192.168.50.120,192.168.224.110,0.00023681695270991542,0.0
56,2.9930561098264615e-05,192.168.31.252,192.168.224.110,2.9930561098264615e-05,2.9930561098264615e-05
57,1.6763407894684343e-05,91.189.91.97,192.168.224.86,0.00010058044736810606,0.0
58,1.6083615919316083e-05,192.168.193.16,192.168.224.110,0.00011258531143521257,0.0
59,1.514475611926839e-05,192.168.112.187,192.168.224.110,4.543426835780517e-05,0.0
60,8.342503712909591e-06,192.168.51.42,192.168.238.20,1.6685007425819183e-05,0.0
61,6.589324691053111e-06,192.168.224.86,91.189.91.48,5.271459752842489e-05,0.0
62,6.132834323243204e-06,192.168.16.232,192.168.224.110,3.6797005939459225e-05,0.0
63,5.4876615253881106e-06,192.168.224.86,91.189.91.97,3.292596915232866e-05,0.0
64,3.4790447645679354e-06,185.125.190.48,192.168.224.86,3.4790447645679354e-06,3.4790447645679354e-06
65,1.701808704243393e-06,192.168.17.0,192.168.248.180,1.3614469633947144e-05,0.0
66,5.492520167241199e-07,192.168.192.57,192.168.239.15,4.394016133792959e-06,0.0
67,3.5991220026178584e-07,192.168.224.86,185.125.190.48,3.5991220026178584e-07,3.5991220026178584e-07
68,3.2783548357025644e-07,192.168.18.25,192.168.224.110,2.950519352132308e-06,0.0
69,1.1805544297809515e-07,192.168.19.140,192.168.224.110,1.0624989868028563e-06,0.0
70,9.369095316788901e-09,185.125.190.98,192.168.224.86,3.7476381267155604e-08,0.0
71,7.30066228841148e-09,192.168.24.9,192.168.224.110,2.9202648945479104e-08,0.0
72,4.3242424431975446e-10,192.168.224.86,185.125.190.98,1.7296969772790178e-09,0.0
73,2.274581007003032e-16,184.105.99.75,192.168.226.155,3.057817652569287e-16,1.4913443614367773e-16
